Name,Sex,Age,Pclass,Fate
Mr. Peter Denis Daly,Male,31-60,1st Class,Survived
Mrs. Solomon (Latifa Qurban) Baclini,Female,18-30,3rd Class,Survived
Mr. Raihed Razi,Male,18-30,3rd Class,Died
Mr. Claus Peter Hansen,Male,31-60,3rd Class,Died
Mr. Frederick Edward Giles,Male,18-30,2nd Class,Died
Mrs. Frederick Joel (Margaret Welles Barron) Swift,Female,31-60,1st Class,Survived
Miss. Dorothy Edith Sage,Female,17 & Below,3rd Class,Died
Mr. John William Gill,Male,18-30,2nd Class,Died
Mrs. (Karolina) Bystrom,Female,31-60,2nd Class,Survived
Miss. Asuncion Duran y More,Female,18-30,2nd Class,Survived
Mr. Washington Augustus II Roebling,Male,31-60,1st Class,Died
Mr. Philemon van Melkebeke,Male,18-30,3rd Class,Died
Master. Harold Theodor Johnson,Male,17 & Below,3rd Class,Survived
Mr. Cerin Balkic,Male,18-30,3rd Class,Died
Mrs. Richard Leonard (Sallie Monypeny) Beckwith,Female,31-60,1st Class,Survived
Mr. Frans Olof Carlsson,Male,31-60,1st Class,Died
Mr. Victor Vander Cruyssen,Male,31-60,3rd Class,Died
Mrs. Samuel (Hannah Wizosky) Abelson,Female,18-30,2nd Class,Survived
Miss. Adele Kiamie Najib,Female,17 & Below,3rd Class,Survived
Mr. Alfred Ossian Gustafsson,Male,18-30,3rd Class,Died
Mr. Nedelio Petroff,Male,18-30,3rd Class,Died
Mr. Kristo Laleff,Male,18-30,3rd Class,Died
Mrs. Thomas Jr (Lily Alexenia Wilson) Potter,Female,31-60,1st Class,Survived
Mrs. William (Imanita Parrish Hall) Shelley,Female,18-30,2nd Class,Survived
Mr. Johann Markun,Male,31-60,3rd Class,Died
Miss. Gerda Ulrika Dahlberg,Female,18-30,3rd Class,Died
Mr. Frederick James Banfield,Male,18-30,2nd Class,Died
Mr. Henry Jr Sutehall,Male,18-30,3rd Class,Died
Mrs. William (Margaret Norton) Rice,Female,31-60,3rd Class,Died
Rev. Juozas Montvila,Male,18-30,2nd Class,Died
Miss. Margaret Edith Graham,Female,18-30,1st Class,Survived
Miss. Catherine Helen Johnston,Female,17 & Below,3rd Class,Died
Mr. Karl Howell Behr,Male,18-30,1st Class,Survived
Mr. Patrick Dooley,Male,31-60,3rd Class,Died
